artist_id,artist_name,genres,followers,popularity_artist
4fpwOzxFRMVGfd197dKIdY,Boldy James,"boom bap,jazz rap,alternative hip hop,experimental hip hop",307707,59
2EMAnMvWE2eb56ToJVfCWs,Bryson Tiller,"trap soul,r&b",10566213,80
1bbah9s09626gweOzzLbKG,Towerz,"lo-fi hip hop,lo-fi,lo-fi beats",10831,51
4d3yvTptO48nOYTPBcPFZC,Eve,,1584728,67
1grN0519h2zYqpRtYbDZAl,Larry June,,559191,65
0kj68SnX4WCXwveyBbRX8p,MC Saci,"funk de bh,brazilian funk,brega funk",525411,61
1QywhHFJc6ix4XLDOUQVNE,Dj Aguilar,"funk de bh,brazilian funk",61843,54
0nFdWpwl7h6fp3ADRyG14L,Marina Sena,"brazilian pop,nova mpb",628631,68
1vEN3d3dJbmdHQpXD6AIkL,Marcelo D2,"brazilian hip hop,samba,brazilian rock",1273434,60
6DPYiyq5kWVQS4RGwxzPC7,Dr. Dre,"old school hip hop,g-funk,gangster rap,west coast hip hop,hip hop,rap",15089626,78
67lytN32YpUxiSeWlKfHJ3,Yung Lean,cloud rap,1151155,66
2h5Ha0ZiMFmOQD3iYcSXsy,KayBlack,"brazilian trap,trap funk,trap,brazilian hip hop",4267767,71
68YeXpLt3jB7JHQS5ZjMGo,Teto,"brazilian trap,trap,trap funk,brazilian hip hop",4628902,70
4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,christmas,11909137,79
6ns6XAOsw4B0nDUIovAOUO,GZA,"east coast hip hop,old school hip hop,hip hop",636244,59
0z4gvV4rjIZ9wHck67ucSV,Akon,,6005038,82
4dpARuHxo51G3z768sgnrY,Adele,soft pop,66720643,83
6icQOAFXDZKsumw3YXyusw,Lil Yachty,,10907844,75
5cMgGlA1xGyeAB2ctYlRdZ,Gang Starr,"east coast hip hop,old school hip hop,hip hop,boom bap",1081640,62
13y7CgLHjMVRMDqxdx0Xdo,Gucci Mane,"southern hip hop,rap,trap",5987057,76
1VuBGdfqq86BQyiDactQAC,Conductor Williams,boom bap,43882,45
48H2LKju3qH1hMJhhnhYvY,DJ LUCAS DE PAULA,"funk de bh,brazilian funk",42374,48
1HwM5zlC5qNWhJtM00yXzG,DMX,"east coast hip hop,old school hip hop,hardcore hip hop",5927812,69
2qoQgPAilErOKCwE2Y8wOG,GloRilla,,2555323,76
0YC192cP3KPCRWx8zr8MfZ,Hans Zimmer,soundtrack,4779199,77
4SqTiwOEdYrNayaGMkc7ia,LÉON,,390309,54
3qiHUAX7zY4Qnjx8TNUzVx,Yeat,rage rap,5978358,79
1t9YWEQIh5ciiliO2C8Mew,DONDA,,114265,55
4bXDZie6sqszxFN6D0Mi2K,untiljapan,underground hip hop,88987,48
7bXgB6jMjp9ATFy66eO08Z,Chris Brown,r&b,28316378,87
5JG9GISYjRLQUJMH2C6iJ5,Turma do Pagode,"pagode,samba",3897901,70
3Mcii5XWf6E0lrY3Uky4cA,Ice Cube,"gangster rap,west coast hip hop,old school hip hop,g-funk",11067892,72
0RESbWvOMyua0yuyVrztJ5,Key Glock,,2398899,73
1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,,9556340,81
17Q9sCBpIyS6yM2YyaI6R4,Lords Of The Underground,"east coast hip hop,old school hip hop",268775,42
6gEzJZrbm0F4ihvE9iXR9z,Péricles,"pagode,samba",3629744,69
23zg3TcAtWQy7J6upgbUnj,USHER,r&b,13753493,80
5hJWXTzt9uhtXkojAnLQjI,DJ FUMO DO SAO PEDRO,"funk de bh,brazilian funk",17868,44
57LYzLEk2LcFghVwuWbcuS,Summer Walker,r&b,8013600,76
2NdeV5rLm47xAvogXrYhJX,Ciara,,7333081,69
3ScY9CQxNLQei8Umvpx5g6,Fat Joe,east coast hip hop,2134641,66
6qxpnaukVayrQn6ViNvu9I,BigXthaPlug,southern hip hop,2061735,79
6O2zJ0tId7g07yzHtX0yap,Mobb Deep,"east coast hip hop,old school hip hop,hardcore hip hop,hip hop,gangster rap",2414895,69
7tYKF4w9nC0nq9CsPZTHyP,SZA,r&b,33043825,87
0VRj0yCOv2FXJNP47XQnx5,Quavo,,8081136,76
34EP7KEpOjXcM2TCat1ISk,Wu-Tang Clan,"east coast hip hop,old school hip hop,hip hop,gangster rap,hardcore hip hop",3707332,65
7yQrcdkLdBAkV7yY9fF2Hw,Grupo Revelação,"pagode,samba",2245213,69
28ExwzUQsvgJooOI0X1mr3,Jay Rock,,1633127,69
7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,"g-funk,west coast hip hop,gangster rap,hip hop,old school hip hop,rap",15695279,80
7HqrSDuI9lHuH1CDismTFg,AZ,"east coast hip hop,old school hip hop,boom bap",401405,53
